source,z_center,z_low,z_high,log10_L,phi_Mpc3_dex,sigma_phi,band_or_bol,absorbed_flag,fig_panel,notes
Hopkins2006,0.1,,,44.000,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,44.214,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,44.429,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,44.643,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,44.857,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,45.071,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,45.286,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,45.500,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,45.714,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,45.929,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,46.143,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,46.357,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,46.571,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,46.786,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.1,,,47.000,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,44.000,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,44.214,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,44.429,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,44.643,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,44.857,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,45.071,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,45.286,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,45.500,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,45.714,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,45.929,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,46.143,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,46.357,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,46.571,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,46.786,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.3,,,47.000,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,44.000,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,44.214,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,44.429,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,44.643,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,44.857,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,45.071,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,45.286,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,45.500,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,45.714,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,45.929,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,46.143,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,46.357,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,46.571,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,46.786,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.5,,,47.000,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,44.000,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,44.214,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,44.429,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,44.643,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,44.857,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,45.071,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,45.286,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,45.500,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,45.714,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,45.929,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,46.143,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,46.357,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,46.571,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,46.786,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,0.7,,,47.000,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.0,,,44.000,1.819586e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,44.214,1.353178e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,44.429,1.006144e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,44.643,7.477510e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,44.857,5.550055e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,45.071,4.105367e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,45.286,3.009368e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,45.500,2.154902e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,45.714,1.457186e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,45.929,8.714963e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,46.143,4.249006e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,46.357,1.642431e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,46.571,5.337970e-08,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,46.786,1.581464e-08,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.0,,,47.000,4.499569e-09,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,44.000,1.819586e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,44.214,1.353178e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,44.429,1.006144e-05,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,44.643,7.477510e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,44.857,5.550055e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,45.071,4.105367e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,45.286,3.009368e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,45.500,2.154902e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,45.714,1.457186e-06,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,45.929,8.714963e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,46.143,4.249006e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,46.357,1.642431e-07,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,46.571,5.337970e-08,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,46.786,1.581464e-08,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,1.5,,,47.000,4.499569e-09,,bolometric,,fit-sample,params@z=1.0
Hopkins2006,2.0,,,44.000,1.513523e-05,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,44.214,1.125639e-05,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,44.429,8.371025e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,44.643,6.224080e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,44.857,4.625404e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,45.071,3.432651e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,45.286,2.538189e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,45.500,1.858771e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,45.714,1.327721e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,45.929,8.926666e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,46.143,5.279201e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,46.357,2.533920e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,46.571,9.657659e-08,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,46.786,3.112244e-08,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.0,,,47.000,9.184293e-09,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,44.000,1.513523e-05,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,44.214,1.125639e-05,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,44.429,8.371025e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,44.643,6.224080e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,44.857,4.625404e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,45.071,3.432651e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,45.286,2.538189e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,45.500,1.858771e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,45.714,1.327721e-06,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,45.929,8.926666e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,46.143,5.279201e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,46.357,2.533920e-07,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,46.571,9.657659e-08,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,46.786,3.112244e-08,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,2.5,,,47.000,9.184293e-09,,bolometric,,fit-sample,params@z=2.0
Hopkins2006,3.0,,,44.000,8.709498e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,44.214,6.477540e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,44.429,4.817343e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,44.643,3.582225e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,44.857,2.662919e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,45.071,1.977823e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,45.286,1.465593e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,45.500,1.079371e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,45.714,7.822491e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,45.929,5.444369e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,46.143,3.454174e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,46.357,1.842596e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,46.571,7.792811e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,46.786,2.686763e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,3.0,,,47.000,8.192711e-09,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,44.000,8.709498e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,44.214,6.477540e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,44.429,4.817343e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,44.643,3.582225e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,44.857,2.662919e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,45.071,1.977823e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,45.286,1.465593e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,45.500,1.079371e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,45.714,7.822491e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,45.929,5.444369e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,46.143,3.454174e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,46.357,1.842596e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,46.571,7.792811e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,46.786,2.686763e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,4.0,,,47.000,8.192711e-09,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,44.000,8.709498e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,44.214,6.477540e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,44.429,4.817343e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,44.643,3.582225e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,44.857,2.662919e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,45.071,1.977823e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,45.286,1.465593e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,45.500,1.079371e-06,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,45.714,7.822491e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,45.929,5.444369e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,46.143,3.454174e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,46.357,1.842596e-07,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,46.571,7.792811e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,46.786,2.686763e-08,,bolometric,,fit-sample,params@z=3.0
Hopkins2006,5.0,,,47.000,8.192711e-09,,bolometric,,fit-sample,params@z=3.0
