material,E_Pa,rho_kg_m3,b_m,h_m,A_m2,I_m4,L_m,boundary_condition,mode,lambda_n,frequency_hz
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),1,1.87510407,27.179356886262806
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),2,4.69409113,170.33012166560513
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),3,7.85475744,476.9292735745654
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),4,10.99554073,934.5910259917056
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,1,3.141592653589793,76.29361066151937
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,2,6.283185307179586,305.17444264607747
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,3,9.42477796076938,686.6424959536744
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,4,12.566370614359172,1220.6977705843099
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,1,4.73004074,172.94905209122646
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,2,7.85320462,476.74072233883834
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,3,10.99560784,934.6024343610978
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,4,14.13716839,1544.9459325629314
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),1,1.87510407,9.78456847905461
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),2,4.69409113,61.31884379961785
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),3,7.85475744,171.69453848684353
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),4,10.99554073,336.452769357014
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,1,3.141592653589793,27.465699838146975
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,2,6.283185307179586,109.8627993525879
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,3,9.42477796076938,247.19129854332277
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,4,12.566370614359172,439.4511974103516
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,1,4.73004074,62.26165875284152
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,2,7.85320462,171.6266600419818
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,3,10.99560784,336.45687636999526
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,4,14.13716839,556.1805357226553
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),1,1.87510407,2.4461421197636524
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),2,4.69409113,15.329710949904463
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),3,7.85475744,42.92363462171088
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),4,10.99554073,84.1131923392535
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,1,3.141592653589793,6.866424959536744
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,2,6.283185307179586,27.465699838146975
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,3,9.42477796076938,61.79782463583069
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,4,12.566370614359172,109.8627993525879
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,1,4.73004074,15.56541468821038
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,2,7.85320462,42.90666501049545
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,3,10.99560784,84.11421909249881
Steel,200000000000.0,7850,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,4,14.13716839,139.04513393066384
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),1,1.87510407,18.147232821573812
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),2,4.69409113,113.72676650620151
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),3,7.85475744,318.4382398450405
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),4,10.99554073,624.0118562259726
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,1,3.141592653589793,50.94005429439986
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,2,6.283185307179586,203.76021717759943
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,3,9.42477796076938,458.46048864959874
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,4,12.566370614359172,815.0408687103977
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,1,4.73004074,115.47538551790721
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,2,7.85320462,318.312347124773
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,3,10.99560784,624.0194734163404
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,4,14.13716839,1031.5363108953254
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),1,1.87510407,6.533003815766572
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),2,4.69409113,40.941635942232544
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),3,7.85475744,114.63776634421458
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),4,10.99554073,224.64426824135012
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,1,3.141592653589793,18.33841954598395
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,2,6.283185307179586,73.3536781839358
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,3,9.42477796076938,165.04577591385555
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,4,12.566370614359172,293.4147127357432
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,1,4.73004074,41.571138786446596
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,2,7.85320462,114.59244496491827
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,3,10.99560784,224.64701042988253
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,4,14.13716839,371.35307192231716
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),1,1.87510407,1.633250953941643
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),2,4.69409113,10.235408985558136
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),3,7.85475744,28.659441586053646
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),4,10.99554073,56.16106706033753
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,1,3.141592653589793,4.584604886495987
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,2,6.283185307179586,18.33841954598395
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,3,9.42477796076938,41.26144397846389
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,4,12.566370614359172,73.3536781839358
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,1,4.73004074,10.392784696611649
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,2,7.85320462,28.648111241229568
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,3,10.99560784,56.16175260747063
Aluminum,69000000000.0,2700,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,4,14.13716839,92.83826798057929
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),1,1.87510407,36.294465643147625
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),2,4.69409113,227.45353301240303
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),3,7.85475744,636.876479690081
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),4,10.99554073,1248.0237124519451
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,1,3.141592653589793,101.88010858879971
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,2,6.283185307179586,407.52043435519886
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,3,9.42477796076938,916.9209772991975
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,4,12.566370614359172,1630.0817374207954
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,1,4.73004074,230.95077103581443
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,2,7.85320462,636.624694249546
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,3,10.99560784,1248.0389468326807
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,4,14.13716839,2063.072621790651
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),1,1.87510407,13.066007631533145
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),2,4.69409113,81.88327188446509
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),3,7.85475744,229.27553268842917
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),4,10.99554073,449.28853648270024
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,1,3.141592653589793,36.6768390919679
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,2,6.283185307179586,146.7073563678716
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,3,9.42477796076938,330.0915518277111
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,4,12.566370614359172,586.8294254714864
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,1,4.73004074,83.14227757289319
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,2,7.85320462,229.18488992983654
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,3,10.99560784,449.29402085976506
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,4,14.13716839,742.7061438446343
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),1,1.87510407,3.266501907883286
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),2,4.69409113,20.470817971116272
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),3,7.85475744,57.31888317210729
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),4,10.99554073,112.32213412067506
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,1,3.141592653589793,9.169209772991975
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,2,6.283185307179586,36.6768390919679
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,3,9.42477796076938,82.52288795692778
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,4,12.566370614359172,146.7073563678716
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,1,4.73004074,20.785569393223298
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,2,7.85320462,57.296222482459136
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,3,10.99560784,112.32350521494126
Aluminum,69000000000.0,2700,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,4,14.13716839,185.67653596115858
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),1,1.87510407,27.220849232360724
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),2,4.69409113,170.5901497593023
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),3,7.85475744,477.6573597675608
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),4,10.99554073,936.017784338959
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,1,3.141592653589793,76.4100814415998
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,2,6.283185307179586,305.6403257663992
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,3,9.42477796076938,687.6907329743983
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,4,12.566370614359172,1222.5613030655968
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,1,4.73004074,173.21307827686084
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,2,7.85320462,477.4685206871596
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,3,10.99560784,936.0292101245107
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,4,14.13716839,1547.3044663429882
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),1,1.87510407,9.79950572364986
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),2,4.69409113,61.412453913348834
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),3,7.85475744,171.9566495163219
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),4,10.99554073,336.96640236202524
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,1,3.141592653589793,27.50762931897593
Aluminum,69000000000.0,2700,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,2,6.283185307179586,110.03051727590372
